feature,coefficient,abs_coefficient
ITGAD (3681),0.020423424442353053,0.020423424442353053
GRIN2A (2903),0.02037835279092649,0.02037835279092649
LRTM1 (57408),0.020340913194112045,0.020340913194112045
GSPT2 (23708),-0.020176475955589034,0.020176475955589034
PRSS35 (167681),0.019925064293614726,0.019925064293614726
ZNF236 (7776),0.019844008909249644,0.019844008909249644
CUL2 (8453),0.019773630603954588,0.019773630603954588
TLR6 (10333),-0.01971314139861519,0.01971314139861519
TNS4 (84951),-0.019522113362254633,0.019522113362254633
EIF4E3 (317649),0.01927186898119819,0.01927186898119819
TIGD7 (91151),0.01914081491512763,0.01914081491512763
NFATC4 (4776),0.019107592905959776,0.019107592905959776
GABRA1 (2554),-0.019095216895446458,0.019095216895446458
KLRC4 (8302),-0.019083912876552415,0.019083912876552415
NCR1 (9437),0.019039743583742667,0.019039743583742667
KRTAP10-1 (386677),0.019012625611949614,0.019012625611949614
RAMP1 (10267),0.01899371884958946,0.01899371884958946
OR10G6 (79490),0.018941132969246096,0.018941132969246096
TRMT61A (115708),0.018813430922454643,0.018813430922454643
LRWD1 (222229),-0.018774772812723387,0.018774772812723387
DSG1 (1828),0.01875830881300918,0.01875830881300918
ETV5 (2119),-0.01874389925457349,0.01874389925457349
GOLGA7B (401647),-0.018727752455602688,0.018727752455602688
SLC7A8 (23428),-0.018715628475880635,0.018715628475880635
ANO3 (63982),-0.01870322069564924,0.01870322069564924
XPNPEP3 (63929),-0.01868609181376636,0.01868609181376636
MUL1 (79594),0.018578029245342416,0.018578029245342416
OR11H6 (122748),0.018569734856573997,0.018569734856573997
IL24 (11009),-0.018506118528013548,0.018506118528013548
GFRA1 (2674),0.018467941174942645,0.018467941174942645
FAM170A (340069),0.018412284893504147,0.018412284893504147
C11orf24 (53838),-0.018371945909321445,0.018371945909321445
ELFN2 (114794),0.018309593446700936,0.018309593446700936
ARRDC2 (27106),-0.018266693260756056,0.018266693260756056
CAPS2 (84698),-0.018264988169194078,0.018264988169194078
SIX2 (10736),0.018174871086890556,0.018174871086890556
ATP11C (286410),0.018103965746804087,0.018103965746804087
ILRUN (64771),0.018049255175959893,0.018049255175959893
NHP2 (55651),0.018026797388877,0.018026797388877
ADH6 (130),0.017986476870923446,0.017986476870923446
LGI3 (203190),-0.01787475117529513,0.01787475117529513
MYH4 (4622),0.017584339812881784,0.017584339812881784
CRYGN (155051),-0.017544801319851384,0.017544801319851384
SELENOM (140606),0.01750670971694878,0.01750670971694878
OCM (654231),0.01749215790751369,0.01749215790751369
OR2A25 (392138),0.01746254115055404,0.01746254115055404
KRTAP4-4 (84616),0.01743442604142214,0.01743442604142214
FAM90A23 (645572),0.017421997560427754,0.017421997560427754
ZNF233 (353355),0.017364784035283187,0.017364784035283187
ZNF114 (163071),-0.0173121748717177,0.0173121748717177
TOR1AIP1 (26092),-0.017238423490316502,0.017238423490316502
SPECC1 (92521),0.017208438693155265,0.017208438693155265
CYP39A1 (51302),-0.017004037691855333,0.017004037691855333
FAM120AOS (158293),0.01698558361281049,0.01698558361281049
AIFM3 (150209),-0.01697500281849628,0.01697500281849628
CATSPER1 (117144),-0.016820874613484096,0.016820874613484096
DCUN1D4 (23142),0.01674788707078162,0.01674788707078162
FAM162B (221303),-0.016721747392719154,0.016721747392719154
DES (1674),-0.01669885578742435,0.01669885578742435
NR4A2 (4929),-0.016617040253410924,0.016617040253410924
SLC35G5 (83650),0.016569790288106425,0.016569790288106425
RFWD3 (55159),-0.01656518405563314,0.01656518405563314
CALCR (799),0.016522950426306533,0.016522950426306533
STAC2 (342667),0.016425485547860746,0.016425485547860746
ZNF75A (7627),0.016411677141578086,0.016411677141578086
RPP25L (138716),-0.016391562263550548,0.016391562263550548
ECEL1 (9427),0.016291186531755965,0.016291186531755965
